,rank_test_accuracy,param_criterion,param_n_estimators,param_max_features,param_max_depth,param_min_samples_split,mean_test_accuracy,mean_test_precision,mean_test_recall
3570,1,entropy,140,5,10,2,92.6,92.67,98.86
3568,2,entropy,100,5,10,2,92.27,92.51,98.9
3579,2,entropy,140,5,10,3,92.27,92.57,98.82
3581,2,entropy,180,5,10,3,92.27,92.60000000000001,98.78
3594,2,entropy,80,5,10,5,92.27,92.51,98.9
3584,6,entropy,60,5,10,4,92.23,92.54,98.82
3565,7,entropy,40,5,10,2,92.23,92.60000000000001,98.74000000000001
3587,7,entropy,120,5,10,4,92.23,92.38,99.02
3534,9,entropy,140,4,10,2,92.2,92.44,98.9
3572,9,entropy,180,5,10,2,92.2,92.56,98.74000000000001
3573,9,entropy,20,5,10,3,92.2,92.53,98.78
3535,9,entropy,160,4,10,2,92.2,92.38,98.98
3590,13,entropy,180,5,10,4,92.2,92.5,98.82
3492,13,entropy,20,3,10,2,92.2,92.47,98.86
3578,15,entropy,120,5,10,3,92.17,92.58999999999999,98.66
3585,15,entropy,80,5,10,4,92.17,92.56,98.7
3533,15,entropy,120,4,10,2,92.17,92.38,98.94
3544,15,entropy,160,4,10,3,92.17,92.36999999999999,98.94
3575,15,entropy,60,5,10,3,92.17,92.47,98.82
3577,15,entropy,100,5,10,3,92.17,92.56,98.7
3586,21,entropy,100,5,10,4,92.13,92.5,98.74000000000001
3597,22,entropy,140,5,10,5,92.13,92.4,98.86
3580,22,entropy,160,5,10,3,92.13,92.53,98.7
3548,22,entropy,60,4,10,4,92.13,92.36999999999999,98.9
3576,25,entropy,80,5,10,3,92.10000000000001,92.4,98.82
3574,25,entropy,40,5,10,3,92.10000000000001,92.56,98.63
3598,25,entropy,160,5,10,5,92.10000000000001,92.43,98.78
3542,25,entropy,120,4,10,3,92.10000000000001,92.34,98.9
3591,29,entropy,20,5,10,5,92.10000000000001,92.71000000000001,98.42999999999999
3564,30,entropy,20,5,10,2,92.07,92.43,98.74000000000001
3567,30,entropy,80,5,10,2,92.07,92.36999999999999,98.82
3583,30,entropy,40,5,10,4,92.07,92.58,98.55000000000001
3538,33,entropy,40,4,10,3,92.03,92.21000000000001,98.98
3571,33,entropy,160,5,10,2,92.03,92.43,98.7
3562,33,entropy,160,4,10,5,92.03,92.17999999999999,99.02
3532,33,entropy,100,4,10,2,92.03,92.33,98.82
3531,33,entropy,80,4,10,2,92.03,92.30000000000001,98.86
3592,33,entropy,40,5,10,5,92.03,92.39,98.74000000000001
3504,33,entropy,80,3,10,3,92.03,92.21000000000001,98.98
3589,33,entropy,160,5,10,4,92.03,92.52,98.59
3588,33,entropy,140,5,10,4,92.03,92.39,98.74000000000001
3526,33,entropy,160,3,10,5,92.03,92.15,99.06
3551,43,entropy,120,4,10,4,92.0,92.21000000000001,98.94
3543,43,entropy,140,4,10,3,92.0,92.21000000000001,98.94
3595,45,entropy,100,5,10,5,92.0,92.30000000000001,98.82
3569,45,entropy,120,5,10,2,92.0,92.42,98.66
